,x_stderr,accuracy_score_stderr,f1_score_stderr,roc_auc_score_stderr
24,0.0,0.002384915683538965,0.002712415692365579,0.0002357634646160494
25,0.0,0.002384915683538965,0.002712415692365579,0.00023702006500222206
26,0.0,0.0018541092350183625,0.0020678609588787476,0.00018336211859527126
27,0.0,0.0018541092350183625,0.0020678609588787476,0.00018417895069859156
28,0.0,0.0016613528665965715,0.0018267356236820911,0.00013307666628263316
29,0.0,0.0016613528665965715,0.0018267356236820911,0.00013266852116095175
30,0.0,0.0016556584098543089,0.0018051241281483244,0.00011505546978046632
31,0.0,0.0016556584098543089,0.0018051241281483244,0.00010978473995412516
32,0.0,0.0017309536570026085,0.0018802012601189918,0.00012996482013676527
33,0.0,0.0017309536570026085,0.0018802012601189918,0.0001291120881885473
34,0.0,0.0017309536570026085,0.0018802012601189918,0.00012931120151195782
35,0.0,0.0017309536570026085,0.0018802012601189918,0.00012867374315355236
36,0.0,0.0017309536570026085,0.0018802012601189918,0.00012859024437163966
37,0.0,0.0018310440895448693,0.001993211396782492,0.0001266080406438524
38,0.0,0.0023525205902643655,0.002694951007845993,0.00016580910562940726
39,0.0,0.0023525205902643655,0.002694951007845993,0.00016518452100288387
40,0.0,0.0023525205902643655,0.002694951007845993,0.00016495242343778852
41,0.0,0.0024990069719385394,0.002852332010115827,0.00015470364473771042
42,0.0,0.0024990069719385394,0.002852332010115827,0.0001539621384036579
43,0.0,0.002629749101600541,0.0030228770234601346,0.00015924156765955146
44,0.0,0.0023120266770398985,0.0027145967893287787,0.00016295712806919157
45,0.0,0.0021946724568777795,0.0025824056543043514,0.0001526932663376487
46,0.0,0.0021946724568777795,0.0025824056543043514,0.0001526932663376487
47,0.0,0.0021946724568777795,0.0025824056543043514,0.00015231429708918484
48,0.0,0.0014649964462275314,0.0016605373068118506,0.00011523779757875931
49,0.0,0.0016577961233461525,0.001912773631940386,0.0001256687692195184
50,0.0,0.0013002029310261946,0.0015207936884892926,0.00012607681850452208
51,0.0,0.0012292624529323057,0.0014373635568787776,0.0001305480654923338
52,0.0,0.0012292624529323057,0.0014373635568787776,0.00012907261383947598
53,0.0,0.0012292624529323057,0.0014373635568787776,0.00012907261383947097
54,0.0,0.0013360278994040229,0.0015724316234728513,0.00012385099384595624
55,0.0,0.0013360278994040229,0.0015724316234728513,0.00012879024490387088
56,0.0,0.0013360278994040229,0.0015724316234728513,0.00012385099384595264
57,0.0,0.0014091350826044627,0.0016809304517857932,0.00013417020258714573
58,0.0,0.0014091350826044627,0.0016809304517857932,0.00013491730885146805
59,0.0,0.0014091350826044627,0.00168128356160264,0.00012335954148946839
60,0.0,0.0014091350826044627,0.00168128356160264,0.0001229640388641032
61,0.0,0.0014091350826044627,0.00168128356160264,0.00012326378877955738
62,0.0,0.001377788812318537,0.0016442198917176632,0.00012213307132357928
63,0.0,0.001377788812318537,0.0016442198917176632,0.0001226633875844292
64,0.0,0.0009012262872201807,0.0010586049262613262,8.636777886401028e-05
65,0.0,0.00108216994418465,0.0012428521320743814,8.116218871543288e-05
