,x_stderr,accuracy_score_stderr,f1_score_stderr,roc_auc_score_stderr,empirical_robustness_stderr
85,0.0,0.00019436345966958855,0.00022186260240271929,7.772020725394175e-06,0.002107863238875751
86,0.0,0.0002915451895043683,0.0003359923898498436,6.200535183805551e-06,0.004244037863806789
87,0.0,0.00031113334487039093,0.0003569841391985379,5.018881915417749e-06,0.0019165471910472514
88,0.0,0.0003259574311224086,0.0003745378001784993,7.745321846335139e-06,0.0036006406617137858
89,0.0,0.00022267131656734896,0.00025502154607896755,8.806596741951617e-06,0.0019722910719959835
90,0.0,0.00014577259475219325,0.00016472545757072575,8.582643359752166e-06,0.0019396288158949658
91,0.0,0.00014577259475219325,0.00016472545757072575,8.141701568073342e-06,0.002472172134235294
92,0.0,0.0,0.0,7.851572652267145e-06,0.001797385095659806
93,0.0,0.0,0.0,6.494251106901836e-06,0.0015497483744268104
94,0.0,0.00014577259475219174,0.00016804771670694412,3.5952780647097117e-06,0.0022247021083214177
95,0.0,0.00019436345966958912,0.00022406362227592812,4.542237719637735e-06,0.002393650784593986
96,0.0,0.00019436345966958624,0.0002240636222759109,6.514951236467858e-06,0.0018857074955842283
97,0.0,0.00021730495408161024,0.0002509285411377688,9.354102941443192e-06,0.002220982145994769
98,0.0,0.00014577259475219174,0.00016804771670694412,7.877911446978996e-06,0.0025205957568618306
99,0.0,0.00014577259475218217,0.00016860787576259662,1.0152672474694804e-05,0.0019799334929228945
100,0.0,0.0,0.0,8.421841587980157e-06,0.0019502699135001257
101,0.0,0.00014577259475219174,0.00016804771670693693,7.935549080078425e-06,0.002574885637176311
102,0.0,0.00022267131656734696,0.0002566971273913526,8.773604291378576e-06,0.0035740754797839356
103,0.0,0.00014577259475219222,0.00016852413909134584,6.065431060941824e-06,0.004060188936286454
104,0.0,0.00014577259475218079,0.00016860787576259323,7.190556129416746e-06,0.002754323378505656
105,0.0,0.0002616698157013846,0.0003020365646613946,5.1492641968933505e-06,0.004039171414929848
106,0.0,0.00022267131656734896,0.00025669712739134087,6.570358209854021e-06,0.004299859599693681
107,0.0,0.00019436345966958624,0.0002240636222759109,6.817915533874094e-06,0.003077439050919159
108,0.0,0.00019436345966958624,0.0002240636222759109,7.103605457259175e-06,0.002612499313633301
109,0.0,0.0,0.0,5.1492641968897566e-06,0.0026183352646137067
110,0.0,0.00014577259475219325,0.00016804771670694238,4.505606172269734e-06,0.0025006248376893488
111,0.0,0.0002380456504162557,0.00027442077224785257,5.906241948381546e-06,0.0041259991895965615
112,0.0,0.0003223153343396909,0.0003711194859943565,6.200535183803182e-06,0.003360059021011727
113,0.0,0.00014577259475218905,0.00016804771670694086,4.641484023198233e-06,0.002135249200991425
114,0.0,0.00031113334487040145,0.00035818363081305824,7.664667216869177e-06,0.001536299463967268
115,0.0,0.00031113334487040145,0.00035818363081305824,4.542237719653741e-06,0.0034186098981626263
116,0.0,0.00032231533433969394,0.00037117556739233083,5.96209417882282e-06,0.00413630557662019
117,0.0,0.0003223153343396933,0.0003711194859943578,5.7857660455511145e-06,0.004233486509842076
118,0.0,0.0003223153343396933,0.00037111948599435456,7.37262433785686e-06,0.0034666505050714794
119,0.0,0.00014577259475219174,0.00016804771670693693,5.469199769732806e-06,0.0033787831663887884
120,0.0,0.00014577259475218144,0.00016860787576260052,4.30818351960517e-06,0.002640385845147763
121,0.0,0.00036362073729580806,0.00041903781570602874,8.018646100869148e-06,0.0035914693035601305
122,0.0,0.00026166981570138444,0.00030227927526330496,6.695281145434554e-06,0.0028953320081541952
123,0.0,0.00019436345966958847,0.00022406362227591823,7.83572687899971e-06,0.002544927916637921
124,0.0,0.0003917520771767978,0.00045092341601755384,1.1402016304175637e-05,0.0035757202042869954
125,0.0,0.0004236053395083223,0.0004875682632358901,8.900187008489677e-06,0.0048557002335617525
126,0.0,0.0004036260380426627,0.0004645651547353953,8.83008730580984e-06,0.004369673874413698
127,0.0,0.00038872691933915997,0.00044747712162805913,1.2106931977444153e-05,0.0041989193597104
128,0.0,0.0003259574311224192,0.0003753508612399599,1.1107531019916844e-05,0.005161057772301915
129,0.0,0.0002915451895043766,0.0003364691318292776,5.757052389182309e-06,0.0033481073418352874
130,0.0,0.0002915451895043766,0.0003364691318292776,7.877911446986072e-06,0.003358224042860256
131,0.0,0.00019436345966958912,0.00022406362227592275,8.941983055285277e-06,0.0033279174362753103
132,0.0,0.00014577259475219174,0.00016804771670693693,5.315539813655495e-06,0.003488811174389451
133,0.0,0.00014577259475219174,0.00016804771670693693,3.5136890085644406e-06,0.0033119643013803856
134,0.0,0.00014577259475219174,0.00016804771670693693,5.221173617509473e-06,0.003209916788179685
135,0.0,0.00019436345966958855,0.00022406362227592885,6.180457845014442e-06,0.0018251188512747052
136,0.0,0.00014577259475219174,0.00016804771670693693,6.443013611285578e-06,0.003598289978271061
137,0.0,0.0,0.0,2.3028209556737377e-06,0.0018626400188418283
138,0.0,0.0,0.0,4.994056296172606e-06,0.0022383995273593258
139,0.0,0.00032231533433969015,0.00037111948599435765,8.867542775337776e-06,0.004098615266286813
140,0.0,0.0003259574311224238,0.00037535086123995375,8.654747483241545e-06,0.004821700906244739
141,0.0,0.0001943634596695895,0.00022406362227592657,8.539088643743596e-06,0.0032798760676658423
142,0.0,0.00014577259475219222,0.00016804771670694203,7.540694817178402e-06,0.0028676337830396627
143,0.0,0.00014577259475219174,0.00016804771670693796,6.956272869087694e-06,0.002423878102998986
144,0.0,0.00014577259475219174,0.00016804771670693796,5.307740044503814e-06,0.0019173013400859934
145,0.0,0.00019436345966958855,0.00022406362227592964,6.065431060942237e-06,0.003938218758489227
146,0.0,0.00014577259475219174,0.00016804771670693796,4.230552232788752e-06,0.0026748330799730466
147,0.0,0.00019436345966958855,0.00022406362227592964,4.230552232788704e-06,0.004392778904753824
148,0.0,0.00019436345966958855,0.00022406362227592964,3.872660923164921e-06,0.0034321825688167456
149,0.0,0.00019436345966958624,0.00022406362227593026,5.346625106794472e-06,0.0034963535963299804
150,0.0,0.0003223153343396919,0.0003711194859943541,5.934233773205099e-06,0.0029291006083902024
151,0.0,0.0003111333448704005,0.0003581836308130555,8.844151695888319e-06,0.0033763561910799557
152,0.0,0.00029154518950437095,0.0003355380612191522,7.372624337872313e-06,0.003495394758433953
153,0.0,0.0003223153343396947,0.00037111948599435765,4.952403723115391e-06,0.0014473359226045168
