,x_stderr,accuracy_score_stderr,f1_score_stderr,roc_auc_score_stderr,empirical_robustness_stderr
192,0.0,0.0009766642974850263,0.001115265463455556,4.2850659823514767e-05,0.004312438293509892
193,0.0,0.0008541494573006247,0.0009721381716455906,3.7359899006360504e-05,0.0043358855973793155
194,0.0,0.0007272414745916233,0.000838841013752546,3.4530618342263944e-05,0.0042920717898684195
195,0.0,0.0008759842748940638,0.0010178028516691512,3.514985768566777e-05,0.0032118547465063486
196,0.0,0.0007969494395945918,0.0009352914583684875,2.99176376533905e-05,0.004196165142722839
197,0.0,0.0008203082126401372,0.0009650336699797981,2.4486514314872506e-05,0.003292977597780873
198,0.0,0.0007223551383536662,0.0008544336220301657,2.3583282190884298e-05,0.0046049300564337484
199,0.0,0.0007590135739462248,0.0008943543070730506,2.601883570045114e-05,0.004468955630742155
200,0.0,0.0007590135739462263,0.0008967135017222522,2.807153444533644e-05,0.003034513511223683
201,0.0,0.0006680139497020239,0.0007953898313218241,2.8338867441588383e-05,0.003218248881838697
202,0.0,0.0006680139497020239,0.0007953898313218241,2.8233411952396426e-05,0.0031869435742206986
203,0.0,0.000848602973594415,0.0009945082959748675,2.5798163717470485e-05,0.003614309235624405
204,0.0,0.0007850094471041569,0.0009256430095650786,3.4375195424581196e-05,0.003217016035628504
205,0.0,0.0006940163681771512,0.0008227453587972805,3.661757999932982e-05,0.0036627947367959034
206,0.0,0.0009283271707746781,0.0010862739381913514,3.1774809291308255e-05,0.003163876286501329
207,0.0,0.0009232264334305183,0.0010782558794993626,3.339121404178677e-05,0.0031776460267758985
208,0.0,0.000916810605642044,0.001068389481388958,3.033944760619565e-05,0.0032987624319235354
209,0.0,0.0007543330756200194,0.0008753331300153034,2.9825754397209842e-05,0.0026820100365971523
210,0.0,0.0008746355685131193,0.0010330676127703743,3.315807296862385e-05,0.0024172704876345907
211,0.0,0.0009484558452839229,0.0011278704508633464,3.510858051464598e-05,0.0028714463237295043
212,0.0,0.0009334000346112085,0.0010949983874789986,2.268198274966975e-05,0.003952716288570686
213,0.0,0.0008813584619639035,0.0010420294573383032,3.4962245470659155e-05,0.0040139874439960345
214,0.0,0.0008692198163264506,0.001024053258574856,3.358914461651872e-05,0.003970414721482547
215,0.0,0.0008260447035957308,0.0009822059684962937,3.56763101239507e-05,0.003387276084651361
