,x,accuracy_score,f1_score,roc_auc_score
0,0.0,0.0,0.0,4.885697957428314e-05
1,0.0,0.0008029813803376885,0.0008029813803376826,0.00010653862584477652
2,0.0,0.0006876988131624559,0.0006876988131624559,6.142236562584614e-05
3,0.0,0.0007679760911089354,0.0007679760911089354,3.838228326209027e-05
4,0.0,0.0010011123470522745,0.0010011123470522745,6.771410033873536e-05
5,0.0,0.001351703828962416,0.001351703828962416,3.588832831472325e-05
6,0.0,0.0015572858731924353,0.0015572858731924353,4.894845897529142e-05
7,0.0,0.0010113594139403673,0.0010113594139403673,5.579005610135782e-05
8,0.0,0.0009668820771527801,0.0009668820771527801,4.716641422728614e-05
9,0.0,0.0005744135478246047,0.0005744135478246047,4.060120730367558e-05
10,0.0,0.0008199237815163493,0.0008199237815163493,6.544675598013434e-05
11,0.0,0.0006475435371365641,0.0006475435371365641,4.916931426086059e-05
12,0.0,0.0005850846806844354,0.0005850846806844354,4.020248693532162e-05
13,0.0,0.00043871559385241137,0.00043871559385241137,2.1582013195733685e-05
14,0.0,0.0002374165456964351,0.0002374165456964351,2.3742895340116565e-05
15,0.0,0.00030799495227727507,0.00030799495227727507,1.5284826740050413e-05
16,0.0,0.00019967240664199202,0.00019967240664199202,1.5296466378919215e-05
17,0.0,0.00014831294030404684,0.00014831294030404684,2.5594328443666987e-05
18,0.0,0.0,0.0,1.7056289408940003e-05
19,0.0,0.0,0.0,2.062214997696587e-05
20,0.0,0.0,0.0,2.5488820775672177e-05
21,0.0,0.0,0.0,2.013233299562014e-05
22,0.0,0.0,0.0,2.3786210854647153e-05
23,0.0,0.0,0.0,1.927239640703973e-05
24,0.0,0.0,0.0,2.427791562140975e-05
25,0.0,0.0,0.0,1.6958253637639404e-05
26,0.0,0.00011123470522802615,0.00011123470522802615,1.5049508797485019e-05
27,0.0,0.00011123470522802615,0.00011123470522802615,1.3942477656107838e-05
28,0.0,0.0001699138188711779,0.0001699138188711779,8.75741764656622e-06
29,0.0,0.00018164551299837945,0.00018164551299837945,1.029933202953807e-05
30,0.0,0.00011123470522802015,0.00011123470522802015,1.4867716227708083e-05
31,0.0,0.00011123470522802015,0.00011123470522802015,1.1281192835935023e-05
32,0.0,0.0,0.0,1.5561682436916868e-05
33,0.0,0.0,0.0,1.5212750466493685e-05
34,0.0,0.0,0.0,1.3328760175248153e-05
35,0.0,0.0,0.0,1.554603572100829e-05
36,0.0,0.0,0.0,1.3575131706065872e-05
37,0.0,0.0,0.0,9.27977875411496e-06
38,0.0,0.0,0.0,1.906005961726552e-05
39,0.0,0.0,0.0,1.554122730360647e-05
40,0.0,0.0,0.0,1.2502703418593194e-05
41,0.0,0.0,0.0,1.5385679274640516e-05
42,0.0,0.0,0.0,1.0505030074597225e-05
43,0.0,0.0,0.0,1.2597027582325553e-05
44,0.0,0.0,0.0,1.0270623719721385e-05
45,0.0,0.0,0.0,8.518543287181541e-06
46,0.0,0.0,0.0,9.122289264606358e-06
47,0.0,0.0,0.0,9.84881733782627e-06
48,0.0,0.0,0.0,7.774882560373157e-06
49,0.0,0.0,0.0,1.228104370997798e-05
50,0.0,0.0,0.0,5.818446382620317e-06
51,0.0,0.0,0.0,1.2683697575125827e-05
52,0.0,0.0,0.0,1.4116248251438605e-05
53,0.0,0.0,0.0,8.569890662211141e-06
54,0.0,0.0,0.0,9.962431961200032e-06
55,0.0,0.0,0.0,1.2545162913151854e-05
56,0.0,0.0,0.0,9.179077027296725e-06
57,0.0,0.0,0.0,1.1681359292121862e-05
58,0.0,0.0,0.0,1.257265155630599e-05
59,0.0,0.0,0.0,1.514751161691699e-05
60,0.0,0.0,0.0,7.601482077794844e-06
61,0.0,0.0,0.0,8.338565560725858e-06
62,0.0,0.0,0.0,1.1172720484229725e-05
63,0.0,0.0,0.0,7.3185062213540385e-06
64,0.0,0.0,0.0,1.0026017112103435e-05
65,0.0,0.0,0.0,1.7033553379173683e-05
66,0.0,0.0,0.0,5.8201231579377786e-06
67,0.0,0.0,0.0,1.1753788636961968e-05
68,0.0,0.0,0.0,9.238270731302167e-06
69,0.0,0.0,0.0,7.555025490550301e-06
70,0.0,0.0,0.0,1.1586084453653545e-05
71,0.0,0.0,0.0,1.3279841701192803e-05
72,0.0,0.0,0.0,9.502670569032625e-06
