,x,accuracy_score,f1_score,roc_auc_score,empirical_robustness
0,172.0,0.8518518518518519,0.8518518518518519,0.9566654566181512,0.2152344538632287
1,182.0,0.8666666666666666,0.8666666666666666,0.9677186067307006,0.21492652242072322
2,192.0,0.8645833333333333,0.8645833333333333,0.9695536011564394,0.21506946250423903
3,202.0,0.867824074074074,0.867824074074074,0.9726855563660326,0.21542164626288135
4,212.0,0.8681712962962962,0.8681712962962962,0.9738282644215195,0.215414630074433
5,222.0,0.873726851851852,0.873726851851852,0.9756615088325606,0.21568411458970743
6,232.0,0.8800925925925928,0.8800925925925928,0.977794153887998,0.21539840528636733
7,242.0,0.8835648148148149,0.8835648148148149,0.9783226345150735,0.2158256069914844
8,252.0,0.8841435185185185,0.8841435185185185,0.978451755921855,0.2158444952324571
9,262.0,0.8895833333333334,0.8895833333333334,0.9800876035133277,0.21596005984280434
10,272.0,0.8915509259259258,0.8915509259259258,0.9801118964655977,0.21616696603825325
11,282.0,0.8924768518518519,0.8924768518518519,0.9794747058012149,0.21653655783546505
12,292.0,0.8949074074074075,0.8949074074074075,0.9797264226125911,0.2165526215558649
13,302.0,0.8946759259259259,0.8946759259259259,0.9804832982544683,0.21661514381477845
14,312.0,0.8953703703703704,0.8953703703703704,0.9806816809605661,0.21669660830792611
15,322.0,0.8946759259259259,0.8946759259259259,0.9813033290987617,0.2164785649303529
16,332.0,0.8929398148148149,0.8929398148148149,0.981353853321733,0.216241593805512
17,342.0,0.8952546296296295,0.8952546296296295,0.9814412136717197,0.21611012285613249
18,352.0,0.8938657407407407,0.8938657407407407,0.9817695709003293,0.21607262039434977
19,362.0,0.8927083333333332,0.8927083333333332,0.9816792295171701,0.21614031519931493
20,372.0,0.8927083333333334,0.8927083333333334,0.9818210469319923,0.2160535076030063
21,382.0,0.892824074074074,0.892824074074074,0.9820663437862105,0.21616499277230336
22,392.0,0.8925925925925926,0.8925925925925926,0.9821115755899277,0.21622132635732044
23,402.0,0.8924768518518518,0.8924768518518518,0.9819573346045891,0.21621410776608455
24,412.0,0.8934027777777779,0.8934027777777779,0.9819334678709533,0.21607752496287275
25,422.0,0.8935185185185184,0.8935185185185184,0.9818721631525303,0.21595674040187599
26,432.0,0.8943287037037037,0.8943287037037037,0.9818632732999957,0.2158759401041886
27,442.0,0.8959490740740741,0.8959490740740741,0.9819025795874454,0.21587245942907188
28,452.0,0.896412037037037,0.896412037037037,0.9820125454398863,0.21594040947965792
29,462.0,0.8980324074074074,0.8980324074074074,0.9823453499312308,0.2162926910553305
30,472.0,0.8996527777777779,0.8996527777777779,0.9823860763733583,0.21641506193483004
31,482.0,0.8991898148148147,0.8991898148148147,0.9824004769121828,0.21624760189779707
32,492.0,0.8984953703703702,0.8984953703703702,0.9825391924901767,0.21628750143632552
33,502.0,0.899074074074074,0.899074074074074,0.9825560304065746,0.21631346039822352
34,512.0,0.8987268518518519,0.8987268518518519,0.9825726802951547,0.21630044518283528
35,522.0,0.8987268518518517,0.8987268518518517,0.9825379393538896,0.2162337260200906
36,532.0,0.8989583333333332,0.8989583333333332,0.9825181530646743,0.21633374814853804
37,542.0,0.898611111111111,0.898611111111111,0.9825081829039141,0.21623874793326875
38,552.0,0.8981481481481481,0.8981481481481481,0.9824726041225572,0.21619201261788543
39,562.0,0.8984953703703704,0.8984953703703704,0.9825366803214916,0.21627342492272125
40,572.0,0.8984953703703702,0.8984953703703702,0.9824368990744754,0.21615847899787394
41,582.0,0.8987268518518517,0.8987268518518517,0.9824262145365579,0.21613711874532213
42,592.0,0.8987268518518517,0.8987268518518517,0.9825466302514055,0.21617869796437592
43,602.0,0.8988425925925926,0.8988425925925926,0.9825828708453533,0.21620465338599062
44,612.0,0.8991898148148147,0.8991898148148147,0.9824980630412808,0.2161917612362454
45,622.0,0.899074074074074,0.899074074074074,0.9824948254045218,0.21617746523210163
46,632.0,0.8989583333333332,0.8989583333333332,0.9825097583545535,0.2161904487791932
47,642.0,0.8989583333333334,0.8989583333333334,0.9825112036951346,0.21620547677095847
48,652.0,0.8991898148148149,0.8991898148148149,0.9824812147179267,0.21621902971080412
49,662.0,0.8991898148148149,0.8991898148148149,0.9823637202002187,0.21618617441038493
50,672.0,0.8991898148148149,0.8991898148148149,0.9825410261399059,0.21621804836078531
51,682.0,0.8991898148148149,0.8991898148148149,0.9824531651348943,0.21618495718152486
52,692.0,0.8991898148148149,0.8991898148148149,0.9824586729891612,0.21610849560855666
53,702.0,0.8991898148148149,0.8991898148148149,0.9824175091645726,0.21616314792475913
54,712.0,0.8991898148148149,0.8991898148148149,0.9823827555192277,0.2161429133740324
55,722.0,0.8991898148148149,0.8991898148148149,0.9825501612530297,0.21616386182506223
56,732.0,0.8991898148148149,0.8991898148148149,0.9824714560281004,0.21616916424941954
57,742.0,0.8991898148148149,0.8991898148148149,0.9826166169782831,0.21620450573189315
58,752.0,0.8991898148148149,0.8991898148148149,0.9824185761423188,0.2161300691701209
59,762.0,0.8991898148148149,0.8991898148148149,0.9823384726125294,0.21616507182635775
60,772.0,0.8991898148148149,0.8991898148148149,0.9824447622375307,0.21615135888395204
61,782.0,0.8991898148148149,0.8991898148148149,0.9824962934543497,0.2161650718263577
62,792.0,0.8991898148148149,0.8991898148148149,0.9824008593189802,0.21614376341463543
63,802.0,0.8991898148148149,0.8991898148148149,0.982488055103931,0.21614293146317407
64,812.0,0.8991898148148149,0.8991898148148149,0.9825314785587587,0.21618995318473638
65,822.0,0.8991898148148149,0.8991898148148149,0.9824402563890088,0.21615119964649984
66,832.0,0.8991898148148149,0.8991898148148149,0.9824857290114979,0.2161442906108597
67,842.0,0.8991898148148149,0.8991898148148149,0.9823796243521035,0.21610880209805478
68,852.0,0.8991898148148149,0.8991898148148149,0.9825600211719097,0.21610792810897408
69,862.0,0.8991898148148149,0.8991898148148149,0.9824504255566874,0.21611635027916543
70,864.0,0.8991898148148149,0.8991898148148149,0.9824904210715898,0.21617008521892447
