,x,accuracy_score,f1_score,roc_auc_score
0,137.0,0.9723032069970845,0.9680672268907563,0.9985146804835924
1,147.0,0.9723032069970845,0.9680672268907563,0.9985146804835924
2,157.0,0.9708454810495627,0.9659863945578231,0.9984628670120899
3,167.0,0.9708454810495627,0.9659863945578231,0.9984628670120899
4,177.0,0.9883381924198251,0.9866666666666668,0.9993782383419689
5,187.0,0.9883381924198251,0.9866666666666668,0.9993782383419689
6,197.0,0.9897959183673469,0.9883527454242927,0.9993868739205527
7,207.0,0.9897959183673469,0.9883527454242927,0.9993868739205527
8,217.0,0.9854227405247813,0.9836065573770492,0.9993350604490501
9,227.0,0.9854227405247813,0.9836065573770492,0.9993350604490501
10,237.0,0.9854227405247813,0.9836065573770492,0.9993350604490501
11,247.0,0.9854227405247813,0.9836065573770492,0.9993350604490501
12,257.0,0.9941690962099126,0.9933774834437086,0.999006908462867
13,267.0,0.9854227405247813,0.9836065573770492,0.9992400690846287
14,277.0,0.9854227405247813,0.9836065573770492,0.9992400690846287
15,287.0,0.9854227405247813,0.9836065573770492,0.9992400690846287
16,297.0,0.9854227405247813,0.9836065573770492,0.9992400690846287
17,307.0,0.9854227405247813,0.9836065573770492,0.9992400690846287
18,317.0,0.9854227405247813,0.9836065573770492,0.9992400690846287
19,327.0,0.9854227405247813,0.9836065573770492,0.9992400690846287
20,337.0,0.9854227405247813,0.9836065573770492,0.9992400690846287
21,347.0,0.9854227405247813,0.9836065573770492,0.9994818652849741
22,357.0,0.9854227405247813,0.9836065573770492,0.9994818652849741
23,367.0,0.9854227405247813,0.9836065573770492,0.9994818652849742
24,377.0,0.9941690962099126,0.9933774834437086,0.9995854922279793
25,387.0,0.9927113702623906,0.9917081260364843,0.9996027633851469
26,397.0,0.9927113702623906,0.9917081260364843,0.9996027633851469
27,407.0,0.9941690962099126,0.9933774834437086,0.9992141623488774
28,417.0,0.9927113702623906,0.9917081260364843,0.999412780656304
29,427.0,0.9927113702623906,0.9917081260364843,0.999637305699482
30,437.0,0.9927113702623906,0.9917081260364843,0.9996373056994818
31,447.0,0.9927113702623906,0.9917081260364843,0.9996373056994818
32,457.0,0.9927113702623906,0.9917081260364843,0.9996373056994818
33,467.0,0.9927113702623906,0.9917081260364843,0.999637305699482
34,477.0,0.9927113702623906,0.9917081260364843,0.9996373056994818
35,487.0,0.9927113702623906,0.9917081260364843,0.999637305699482
36,497.0,0.9927113702623906,0.9917081260364843,0.9996373056994818
37,507.0,0.9927113702623906,0.9917081260364843,0.9996373056994818
38,517.0,0.9927113702623906,0.9917081260364843,0.999637305699482
39,527.0,0.9927113702623906,0.9917081260364843,0.9996373056994818
40,537.0,0.9927113702623906,0.9917081260364843,0.9996373056994818
41,547.0,0.9927113702623906,0.9917081260364843,0.9996373056994818
42,557.0,0.9927113702623906,0.9917081260364843,0.9996373056994818
43,567.0,0.9927113702623906,0.9917081260364843,0.9996373056994818
44,577.0,0.9941690962099126,0.9933774834437086,0.9991450777202072
45,587.0,0.9941690962099126,0.9933774834437086,0.9991450777202072
46,597.0,0.9941690962099126,0.9933774834437086,0.9991450777202072
47,607.0,0.9941690962099126,0.9933774834437086,0.9991450777202072
48,617.0,0.9941690962099126,0.9933774834437086,0.9991450777202072
49,627.0,0.9941690962099126,0.9933774834437086,0.9991191709844559
50,637.0,0.9941690962099126,0.9933774834437086,0.9991191709844559
51,647.0,0.9941690962099126,0.9933774834437086,0.9991191709844559
52,657.0,0.9927113702623906,0.9917081260364843,0.999637305699482
53,667.0,0.9927113702623906,0.9917081260364843,0.999637305699482
54,677.0,0.9912536443148688,0.9900332225913622,0.999706390328152
55,686.0,0.9897959183673469,0.9883527454242927,0.9997322970639032
