,x,accuracy_score,f1_score,roc_auc_score,empirical_robustness
0,172.0,0.8518518518518519,0.8518518518518519,0.9538946481432912,0.21514823873168473
1,182.0,0.8640046296296297,0.8640046296296295,0.9673894785088684,0.21441516328030996
2,192.0,0.8660300925925926,0.8660300925925926,0.9685786442896003,0.21444015316463858
3,202.0,0.8686342592592592,0.8686342592592592,0.972474308011326,0.2141306466211335
4,212.0,0.8697916666666666,0.8697916666666666,0.9752833551358151,0.21408137766140373
5,222.0,0.8709490740740741,0.8709490740740741,0.9746678095386966,0.21396362264978666
6,232.0,0.8721064814814814,0.8721064814814814,0.974487449021794,0.2139576189008336
7,242.0,0.8723958333333333,0.8723958333333333,0.9756780000768334,0.21401362946461258
8,252.0,0.8747106481481481,0.8747106481481481,0.9756164906143685,0.2139861206439384
9,262.0,0.8761574074074074,0.8761574074074074,0.975532654080622,0.2142657195802494
10,272.0,0.8773148148148149,0.8773148148148149,0.9762449592611213,0.21452555541930413
11,282.0,0.8784722222222222,0.8784722222222222,0.9769025391878988,0.21447613789549824
12,292.0,0.8747106481481481,0.8747106481481481,0.9768233450994588,0.21458195406845396
13,302.0,0.8770254629629629,0.8770254629629629,0.9761176589344063,0.21376238781659168
14,312.0,0.8761574074074074,0.8761574074074074,0.9768864496280306,0.21394204514889723
15,322.0,0.8770254629629629,0.8770254629629629,0.9774552355397639,0.21410806682551697
16,332.0,0.8773148148148149,0.8773148148148149,0.9774613677222961,0.21388835423038785
17,342.0,0.877025462962963,0.877025462962963,0.9770534389050514,0.21400709028491566
18,352.0,0.8773148148148149,0.8773148148148149,0.9768986216953767,0.21405522813399233
19,362.0,0.880787037037037,0.880787037037037,0.9771198335413626,0.21414045319618408
20,372.0,0.8802083333333333,0.8802083333333333,0.977076899035762,0.21396758839622113
21,382.0,0.8793402777777779,0.8793402777777779,0.9767769991689668,0.21403221806608555
22,392.0,0.8802083333333334,0.8802083333333334,0.977459721647462,0.21398744091781058
23,402.0,0.8802083333333334,0.8802083333333334,0.9775263871251594,0.21398236027114817
24,412.0,0.8799189814814816,0.8799189814814816,0.9774011304898149,0.21395560779439893
25,422.0,0.8773148148148149,0.8773148148148149,0.9771525309903999,0.21388809835419123
26,432.0,0.875,0.875,0.9768183178457955,0.21394584496668623
27,442.0,0.8744212962962963,0.8744212962962963,0.9772852542754282,0.21382413505138562
28,452.0,0.8767361111111112,0.8767361111111112,0.9776567859784366,0.2141665338611701
29,462.0,0.876736111111111,0.876736111111111,0.9785259370421582,0.21432959087011108
30,472.0,0.8744212962962963,0.8744212962962963,0.9774345207894903,0.2139384916709377
31,482.0,0.8799189814814815,0.8799189814814815,0.9778833178842047,0.21380083425598795
32,492.0,0.884837962962963,0.884837962962963,0.9788795278538512,0.2141001310895677
33,502.0,0.8894675925925926,0.8894675925925926,0.9802027664268304,0.21451337188681652
34,512.0,0.8874421296296297,0.8874421296296297,0.9795905194343848,0.21431686199978883
35,522.0,0.8885995370370371,0.8885995370370371,0.9797223240548073,0.2138846772867385
36,532.0,0.8912037037037036,0.8912037037037036,0.9799592930172835,0.21435021319867242
37,542.0,0.8932291666666666,0.8932291666666666,0.9799333585991792,0.21476816378748312
38,552.0,0.8929398148148148,0.8929398148148148,0.9798102805080435,0.21483212508888663
39,562.0,0.8961226851851852,0.8961226851851852,0.9803080856538504,0.21470257545657256
40,572.0,0.8978587962962963,0.8978587962962963,0.9803834017306805,0.21506784972399107
41,582.0,0.8940972222222223,0.8940972222222223,0.9804252629483622,0.2153453608805388
42,592.0,0.892650462962963,0.892650462962963,0.9801951171412302,0.21529140454571066
43,602.0,0.8929398148148149,0.8929398148148149,0.9803478234406638,0.21536067614862128
44,612.0,0.8952546296296297,0.8952546296296297,0.9807629203992093,0.21518831375126982
45,622.0,0.8943865740740741,0.8943865740740741,0.9808245740480309,0.21546422260233922
46,632.0,0.8972800925925926,0.8972800925925926,0.9809712550759148,0.21557470924665365
47,642.0,0.8998842592592593,0.8998842592592593,0.981112440199743,0.21578290311279508
48,652.0,0.9010416666666667,0.9010416666666667,0.9811131569248033,0.21582994960852908
49,662.0,0.8990162037037037,0.8990162037037037,0.9816961211379336,0.21581157052038122
50,672.0,0.8984375,0.8984375,0.9813893953656112,0.21569702410453187
51,682.0,0.896412037037037,0.896412037037037,0.9815466191416147,0.21609768436842675
52,692.0,0.9007523148148149,0.9007523148148149,0.9815696250915507,0.21602355832975043
53,702.0,0.8975694444444444,0.8975694444444444,0.981339610533179,0.21607125094732588
54,712.0,0.8969907407407408,0.8969907407407408,0.9814191657850568,0.2161122531278063
55,722.0,0.8969907407407408,0.8969907407407408,0.9814071029779248,0.21613116123642442
56,732.0,0.8990162037037037,0.8990162037037037,0.9817589190094816,0.2163770243859322
57,742.0,0.8972800925925926,0.8972800925925926,0.9820185901365464,0.21652204521015556
58,752.0,0.8972800925925926,0.8972800925925926,0.9824666223051628,0.21651946474676298
59,762.0,0.9013310185185185,0.9013310185185185,0.9826314052757048,0.21664879014237376
60,772.0,0.9001736111111112,0.9001736111111112,0.9827538315253589,0.2166294642857143
61,782.0,0.9001736111111112,0.9001736111111112,0.9828698314916058,0.21659336966247994
62,792.0,0.9004629629629629,0.9004629629629629,0.9828206958215107,0.21657382532659084
63,802.0,0.9039351851851851,0.9039351851851851,0.9826922336328987,0.21653648821967353
64,812.0,0.9033564814814814,0.9033564814814814,0.9821628171395868,0.21657521047614595
65,822.0,0.9030671296296295,0.9030671296296295,0.9820258076647248,0.2163503032610441
66,832.0,0.9013310185185184,0.9013310185185184,0.9821647459343255,0.21664870689655175
67,842.0,0.9001736111111112,0.9001736111111112,0.9824611914860094,0.21672239123420453
68,852.0,0.8981481481481481,0.8981481481481481,0.9823011442345827,0.21632822509758357
69,862.0,0.8995949074074074,0.8995949074074074,0.9824158654489173,0.21619675776275837
70,864.0,0.8993055555555556,0.8993055555555556,0.9824645795785525,0.21609269605329587
