,x_stderr,accuracy_score_stderr,f1_score_stderr,roc_auc_score_stderr
0,0.0,0.0,0.0,1.295336787567385e-06
1,0.0,0.0011702229911362797,0.0013782011779600695,7.95516792285821e-05
2,0.0,0.002985868123564092,0.0034795589347314166,0.0007329105304532958
3,0.0,0.0029799316047545116,0.0034722038829310344,0.0007345018031337955
4,0.0,0.0030919219183543367,0.003604445598939826,0.0007423113524959135
5,0.0,0.0030808294429829704,0.003590887048947253,0.0007431649462392452
6,0.0,0.0030919219183543367,0.003604445598939826,0.0007423129152183507
7,0.0,0.0030919219183543367,0.003604445598939826,0.0007387844027414291
8,0.0,0.0030808294429829704,0.003590887048947253,0.0007432116054065988
9,0.0,0.0031415412779872984,0.003662965541375941,0.000759707415102065
10,0.0,0.0031524201328102307,0.003676234308549371,0.0007592803653084662
11,0.0,0.003135522994149991,0.003655217455489766,0.0007570663986042622
12,0.0,0.003169972095296427,0.0036925362863968096,0.0007549469882199713
13,0.0,0.003156910762056523,0.0036764638740790527,0.000754946988219961
14,0.0,0.0032754712432172543,0.003811145734660541,0.0007690982982620566
15,0.0,0.0032754712432172543,0.003812193706089653,0.0009203897441483075
16,0.0,0.0032916500591720064,0.0038329593499996377,0.0009013823838459361
17,0.0,0.0031268514175308423,0.0036350936488808803,0.0008892532907956313
18,0.0,0.0031268514175308423,0.0036350936488808803,0.0008887866361351868
19,0.0,0.0031268514175308423,0.0036350936488808803,0.000888739357010466
20,0.0,0.0031268514175308423,0.0036350936488808803,0.0008896253322501381
21,0.0,0.0031896488692471003,0.003708824608446657,0.0007717134926683563
22,0.0,0.0031896488692471003,0.003708824608446657,0.0007691676228824268
23,0.0,0.003219121880476563,0.003741499123233529,0.0007888514905841876
24,0.0,0.003219121880476563,0.003741499123233529,0.0007876547287960248
25,0.0,0.003219121880476563,0.003741499123233529,0.0007885629912297696
26,0.0,0.003359804453462115,0.0038889449060602586,0.0008144611833451092
27,0.0,0.003318439471130011,0.0038407776659724886,0.0008165273418658696
28,0.0,0.003589151664260335,0.004169739375530704,0.0008221851383419284
29,0.0,0.00354047059901786,0.00411342596299308,0.0007975569154266281
30,0.0,0.00354047059901786,0.00411342596299308,0.0007961410373532436
31,0.0,0.006121099084529768,0.006991669985655403,0.0023981101754914813
32,0.0,0.006121099084529768,0.006991669985655403,0.002398111423676551
33,0.0,0.006121099084529768,0.006991669985655403,0.0023994346829320093
34,0.0,0.005967781192553559,0.006810505812389672,0.002391028407594549
35,0.0,0.005967781192553559,0.006810505812389672,0.0023985116170513318
36,0.0,0.005967781192553559,0.006810505812389672,0.002396705940182927
37,0.0,0.006002692906800365,0.006854355999338463,0.002402134248663162
38,0.0,0.006002692906800365,0.006854355999338463,0.0024005026000326946
39,0.0,0.006150344459455186,0.007014098228074743,0.002414160495654671
40,0.0,0.006219061259159828,0.007089867301391942,0.002443815168872956
41,0.0,0.006219061259159828,0.007089867301391942,0.0024452422476803014
42,0.0,0.00620442748280365,0.007072582849526114,0.0024389764549599853
43,0.0,0.003395802761837935,0.003899957381471769,0.0006969389277150244
44,0.0,0.003395802761837935,0.003899957381471769,0.0006946486704571596
45,0.0,0.0034030954897751506,0.00390500201753858,0.0006945953642373284
46,0.0,0.003395802761837935,0.003899957381471769,0.000693333473779539
47,0.0,0.0031494228227597343,0.0036244231260468525,0.0007056378185241603
48,0.0,0.0031494228227597343,0.0036244231260468525,0.0007039560577245483
49,0.0,0.0032740292571278996,0.0037436695129500633,0.0006620970835716083
50,0.0,0.003277272833608799,0.0037448415120888935,0.0006622765036943488
51,0.0,0.003277272833608799,0.0037448415120888935,0.0006626987492027906
52,0.0,0.0033766281152753613,0.003821711440860696,0.0006514410845120513
53,0.0,0.003959484701159066,0.004497586755406147,0.0006625455818582742
