,x_stderr,accuracy_score_stderr,f1_score_stderr,roc_auc_score_stderr
0,0.0,0.0,0.0,0.0
1,0.0,0.0004955315367923058,0.0006557132884249384,0.00014343619775083482
2,0.0,0.0019167233161628838,0.0025172213258850226,0.0002295398588047793
3,0.0,0.002485269553458589,0.0031252435184215064,0.0002764555799342141
4,0.0,0.0026058479451490737,0.003293285636052688,0.0002779386601914362
5,0.0,0.0026058479451490737,0.003293285636052688,0.0002780067723125685
6,0.0,0.0025844676670500008,0.0032599772233961426,0.00029824035394103286
7,0.0,0.002940048495122617,0.003655882272493663,0.00030377143667292096
8,0.0,0.003294159622289276,0.004056448905293914,0.0002841331369162188
9,0.0,0.003532124751289845,0.004310269991246349,0.00030101801453948025
10,0.0,0.004755951138286558,0.00584764060858227,0.0005529092866183055
11,0.0,0.0048357066295917316,0.005946300867623719,0.0005662256569453172
12,0.0,0.004830088399599818,0.005941659652213169,0.0005681411729686215
13,0.0,0.004705041180528751,0.005794642031211033,0.0005601601805148935
14,0.0,0.004708301864628671,0.005796654853036291,0.0005601259913639303
15,0.0,0.004708301864628671,0.005796654853036291,0.0005602577994876881
16,0.0,0.004708301864628671,0.005796654853036291,0.0005606258438414499
17,0.0,0.004705041180528751,0.005794642031211033,0.0005606129298810719
18,0.0,0.004885496740243383,0.006007666877018051,0.0005681893536424668
19,0.0,0.004898768964481462,0.005882176211245503,0.0005429465089793179
20,0.0,0.0033961503897000063,0.003889165461772693,0.00033253257375204335
21,0.0,0.0033961503897000063,0.003889165461772693,0.00033197560390014054
22,0.0,0.0034303911748732262,0.003921248987208885,0.0003482517080692559
23,0.0,0.0034755208439742682,0.00397338053341235,0.00035150167081315193
24,0.0,0.003451319894476132,0.003943222562372903,0.00036044507433288797
25,0.0,0.0035136941088028937,0.004019062831329282,0.0003661260144859703
26,0.0,0.0035136941088028937,0.004019062831329282,0.0003649097109610375
27,0.0,0.0035136941088028937,0.004019062831329282,0.0003689907941194747
28,0.0,0.0034564468889754494,0.003949256852881133,0.0003739232118141964
29,0.0,0.003527107763646155,0.004021773982499654,0.0003812466678089197
30,0.0,0.0036313341868869572,0.004238258621326636,0.00035537105083058805
31,0.0,0.0036698168296402794,0.00428250969985327,0.0003658959231609159
32,0.0,0.0034155610827580015,0.0039933243072063675,0.00035999350820479484
33,0.0,0.003511005228279897,0.004099346775418875,0.0003621565770193029
34,0.0,0.003279793397606644,0.003750634765213825,0.0003290446302252182
35,0.0,0.003867784012076262,0.004489248505880652,0.00038821544229051115
36,0.0,0.003867784012076262,0.004489731896852834,0.0003901405569141858
37,0.0,0.003867784012076262,0.004489731896852834,0.000388562680680315
38,0.0,0.0038201815376095053,0.004446704207531376,0.00038387952914530884
39,0.0,0.0038201815376095053,0.004446704207531376,0.00038379898289425776
40,0.0,0.0038201815376095053,0.004446704207531376,0.00038415503953666155
41,0.0,0.0038201815376095053,0.004446704207531376,0.0003930591418390161
42,0.0,0.0038201815376095053,0.004446704207531376,0.00039156847448620436
43,0.0,0.003908167826549635,0.004488425468422899,0.0004290512817424097
44,0.0,0.003738655794299576,0.00430488157420616,0.00042175310802223517
